# 架空の会社「サンプル精機株式会社」の設備マスタ（デモ用の作り物）
# 実在の企業のデータではない。AIエージェントの動作を検証するための入力。
# 実運用では、この表を自社の実際の設備一覧に差し替えるだけで動く。
process,material,thickness_min,thickness_max,size_max_mm,lead_days_min,note
レーザー切断,SUS,0.5,12.0,3000x1500,3,ファイバーレーザー2台
レーザー切断,SPCC,0.5,16.0,3000x1500,3,ファイバーレーザー2台
レーザー切断,SECC,0.5,16.0,3000x1500,3,ファイバーレーザー2台
レーザー切断,AL,0.5,8.0,3000x1500,3,アルミは反射のため8mmまで
ベンディング,SUS,0.5,9.0,2500,4,プレスブレーキ3台
ベンディング,SPCC,0.5,12.0,2500,4,プレスブレーキ3台
ベンディング,AL,0.5,6.0,2500,4,
溶接,SUS,1.0,12.0,2000,5,TIG・半自動
溶接,SPCC,1.0,16.0,2000,5,TIG・半自動
タレパン,SUS,0.5,3.2,1250x2500,3,
タレパン,SPCC,0.5,3.2,1250x2500,3,
