# 架空の会社「サンプル精機株式会社」の過去案件（デモ用の作り物）
# 実在の取引データではない。金額も架空。
# 実運用では、この表を自社の見積・受注履歴に差し替える。
job_no,material,thickness,process,qty,unit_price_yen,lead_days,note
J-2401,SUS304,2.0,レーザー切断+ベンディング,50,3800,7,制御盤カバー
J-2402,SPCC,3.2,レーザー切断,200,900,5,取付ブラケット
J-2403,SUS304,1.5,レーザー切断+ベンディング+溶接,20,12500,10,ステンレス架台
J-2404,AL,3.0,レーザー切断+ベンディング,100,2400,7,アルミパネル
J-2405,SPCC,2.3,タレパン+ベンディング,500,620,8,量産ブラケット
J-2406,SUS304,6.0,レーザー切断,30,5600,6,厚板ベースプレート
J-2407,SECC,1.6,タレパン+ベンディング,300,780,7,制御盤内板
J-2408,SUS316,3.0,レーザー切断+溶接,10,18000,12,薬品タンク部品
J-2409,SPCC,4.5,レーザー切断+ベンディング,80,3100,8,機械カバー
J-2410,AL,5.0,レーザー切断,60,3300,6,放熱板
